"filename", "language", "Python", "Perl", "Markdown", "Shell Script", "C++", "Makefile", "XML", "pip requirements", "Ini", "C", "Docker", "Properties", "Java", "YAML", "JSON", "CMake", "HTML", "reStructuredText", "Visual Basic", "CSS", "SCSS", "Diff", "Log", "comment", "blank", "total"
"f:\archlab_gem5\gem5\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 63
"f:\archlab_gem5\gem5\.github\workflows\ci-tests.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 111
"f:\archlab_gem5\gem5\.github\workflows\compiler-tests.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 53
"f:\archlab_gem5\gem5\.github\workflows\daily-tests.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 14, 284
"f:\archlab_gem5\gem5\.github\workflows\utils.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 20
"f:\archlab_gem5\gem5\.github\workflows\weekly-tests.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 79
"f:\archlab_gem5\gem5\.pre-commit-config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6, 90
"f:\archlab_gem5\gem5\CODE-OF-CONDUCT.md", "Markdown", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 136
"f:\archlab_gem5\gem5\CONTRIBUTING.md", "Markdown", 0, 0, 500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 598
"f:\archlab_gem5\gem5\KCONFIG.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 115
